Country,Indicator,Value
France,Employees working very long hours,7.67
Germany,Employees working very long hours,4.26
Greece,Employees working very long hours,6.42
Hungary,Employees working very long hours,3.03
Iceland,Employees working very long hours,15.06
Ireland,Employees working very long hours,5.25
Italy,Employees working very long hours,4.11
Luxembourg,Employees working very long hours,3.82
Mexico,Employees working very long hours,28.7
Netherlands,Employees working very long hours,0.42
New Zealand,Employees working very long hours,15.11
Norway,Employees working very long hours,2.93
Poland,Employees working very long hours,5.95
Portugal,Employees working very long hours,8.27
Slovak Republic,Employees working very long hours,4.14
Spain,Employees working very long hours,4.01
Sweden,Employees working very long hours,1.07
Switzerland,Employees working very long hours,0.37
Turkey,Employees working very long hours,32.64
United Kingdom,Employees working very long hours,12.15
United States,Employees working very long hours,11.09
Brazil,Employees working very long hours,7.13
Chile,Employees working very long hours,9.72
Estonia,Employees working very long hours,2.42
Israel,Employees working very long hours,15.45
Latvia,Employees working very long hours,1.27
Russia,Employees working very long hours,0.14
Slovenia,Employees working very long hours,4.39
South Africa,Employees working very long hours,18.12
OECD - Total,Employees working very long hours,11.01
Australia,Time devoted to leisure and personal care,14.35
Austria,Time devoted to leisure and personal care,14.55
Belgium,Time devoted to leisure and personal care,15.7
Canada,Time devoted to leisure and personal care,14.56
Denmark,Time devoted to leisure and personal care,15.87
Finland,Time devoted to leisure and personal care,15.17
France,Time devoted to leisure and personal care,16.36
Germany,Time devoted to leisure and personal care,15.62
Italy,Time devoted to leisure and personal care,16.47
Korea,Time devoted to leisure and personal care,14.7
New Zealand,Time devoted to leisure and personal care,14.87
Norway,Time devoted to leisure and personal care,15.56
Poland,Time devoted to leisure and personal care,14.42
Spain,Time devoted to leisure and personal care,15.93
Sweden,Time devoted to leisure and personal care,15.18
Turkey,Time devoted to leisure and personal care,14.79
United Kingdom,Time devoted to leisure and personal care,14.92
United States,Time devoted to leisure and personal care,14.44
Estonia,Time devoted to leisure and personal care,14.9
Latvia,Time devoted to leisure and personal care,13.83
Slovenia,Time devoted to leisure and personal care,14.75
South Africa,Time devoted to leisure and personal care,14.92
OECD - Total,Time devoted to leisure and personal care,14.98
Colombia,Stakeholder engagement for developing regulations,1.4
Lithuania,Stakeholder engagement for developing regulations,2.4
Colombia,Dwellings without basic facilities,23.9
Lithuania,Dwellings without basic facilities,13.6
Colombia,Housing expenditure,17.0
Lithuania,Housing expenditure,19.0
Colombia,Feeling safe walking alone at night,44.4
Lithuania,Feeling safe walking alone at night,55.9
Colombia,Rooms per person,1.2
Lithuania,Rooms per person,1.5
Lithuania,Household net adjusted disposable income,21660.0
Colombia,Employment rate,67.0
Lithuania,Employment rate,70.0
Colombia,Long-term unemployment rate,0.79
Lithuania,Long-term unemployment rate,2.69
Lithuania,Personal earnings,24287.0
Colombia,Quality of support network,89.0
Lithuania,Quality of support network,88.0
Colombia,Educational attainment,54.0
Lithuania,Educational attainment,93.0
Colombia,Student skills,410.0
Lithuania,Student skills,475.0
Colombia,Years in education,14.1
Lithuania,Years in education,18.4
Colombia,Air pollution,10.0
Lithuania,Air pollution,14.0
Colombia,Water quality,75.0
Lithuania,Water quality,81.0
Colombia,Voter turnout,53.0
Lithuania,Voter turnout,51.0
Colombia,Life expectancy,76.2
Lithuania,Life expectancy,74.8
Lithuania,Self-reported health,43.0
Colombia,Life satisfaction,6.3
Lithuania,Life satisfaction,5.9
Colombia,Homicide rate,24.5
Lithuania,Homicide rate,3.4
Colombia,Employees working very long hours,26.56
Lithuania,Employees working very long hours,0.54
